  Time                 , -I(R1)               
  0.000000000000e+000  ,6.149046725507e-004  
  1.090000000000e-010  ,6.149046725507e-004  
  2.180000000000e-010  ,6.149046725507e-004  
  4.359993316531e-010  ,6.149046725507e-004  
  8.719979949594e-010  ,6.149046725508e-004  
  1.743995321572e-009  ,6.149046725514e-004  
  3.487989974797e-009  ,6.149046725560e-004  
  6.975979281247e-009  ,6.149046725937e-004  
  1.090001000000e-008  ,6.149046727159e-004  
  1.122750958336e-008  ,6.149094725046e-004  
  1.188250875009e-008  ,6.149478839051e-004  
  1.300456618799e-008  ,6.151059482219e-004  
  1.407614594234e-008  ,6.153777253155e-004  
  1.621930545105e-008  ,6.163930116248e-004  
  1.858411973251e-008  ,6.187366424708e-004  
  2.252473181022e-008  ,6.303302277829e-004  
  2.653314417137e-008  ,6.810399326966e-004  
  3.133727854026e-008  ,1.073214625326e-003  
  3.585754578842e-008  ,3.649981847050e-003  
  3.655063604845e-008  ,4.703833001456e-003  
  3.793681656850e-008  ,8.029665745990e-003  
  4.032286500467e-008  ,1.812138128162e-002  
  4.279385005964e-008  ,3.052073333638e-002  
  4.773582016958e-008  ,4.022286800393e-002  
  5.376110469831e-008  ,4.151720415186e-002  
  6.383279954923e-008  ,4.290332504186e-002  
  7.591466104520e-008  ,4.565592381998e-002  
  8.590001000000e-008  ,4.888855177131e-002  
  8.831638229919e-008  ,4.983078675203e-002  
  9.314882887436e-008  ,5.184999842293e-002  
  1.028137220247e-007  ,5.658581502530e-002  
  1.163514269693e-007  ,6.456193632686e-002  
  1.287566436632e-007  ,7.284724023911e-002  
  1.388477100237e-007  ,8.040776864747e-002  
  1.449646366937e-007  ,8.538673286521e-002  
  1.542674316270e-007  ,9.352074358251e-002  
  1.728730214937e-007  ,1.117796585193e-001  
  1.945244087083e-007  ,1.363194094134e-001  
  2.000000100000e-007  ,1.430771737606e-001  
  2.043302874429e-007  ,1.486439774224e-001  
  2.129908423288e-007  ,1.600488024503e-001  
  2.303119521005e-007  ,1.844623685985e-001  
  2.649541716440e-007  ,2.395041583141e-001  
  3.342386107309e-007  ,3.724268345774e-001  
  4.492040495737e-007  ,6.201679973489e-001  
  4.629205684526e-007  ,6.507250038198e-001  
  4.903536062105e-007  ,7.099661771302e-001  
  5.362193803651e-007  ,8.031680056934e-001  
  5.825560312135e-007  ,8.890774716604e-001  
  6.752293329103e-007  ,1.033815486019e+000  
  7.898490648134e-007  ,1.164681277365e+000  
  9.643476228578e-007  ,1.277578839819e+000  
  1.156536839472e-006  ,1.311024098807e+000  
  1.457754872309e-006  ,1.250913311659e+000  
  1.938215992914e-006  ,1.039743919356e+000  
  2.386729023920e-006  ,8.378817780175e-001  
  2.797142765985e-006  ,6.823516463309e-001  
