Time,I(R1)
1.47E-04,-1.58E-04
1.49E-04,-1.12E-04
1.51E-04,-2.58E-05
1.52E-04,5.04E-05
1.54E-04,9.26E-05
1.55E-04,9.14E-05
1.56E-04,6.45E-05
1.58E-04,1.03E-05
1.59E-04,-3.90E-05
1.61E-04,-5.76E-05
1.62E-04,-4.95E-05
1.64E-04,-2.17E-05
1.66E-04,1.29E-05
1.68E-04,3.44E-05
1.69E-04,3.23E-05
1.70E-04,1.94E-05
1.72E-04,-9.90E-07
1.74E-04,-1.83E-05
1.75E-04,-2.12E-05
1.77E-04,-1.52E-05
1.78E-04,-3.82E-06
1.80E-04,8.71E-06
1.81E-04,1.26E-05
1.83E-04,1.14E-05
1.84E-04,6.13E-06
1.86E-04,-1.45E-06
1.88E-04,-7.21E-06
1.89E-04,-7.51E-06
1.91E-04,-5.24E-06
1.92E-04,-3.61E-07
1.94E-04,3.51E-06
1.95E-04,4.60E-06
1.97E-04,4.05E-06
1.98E-04,1.95E-06
2.00E-04,-1.38E-06
2.02E-04,-2.80E-06
2.04E-04,-2.50E-06
2.05E-04,-1.29E-06
2.07E-04,4.13E-07
2.09E-04,1.64E-06
2.10E-04,1.64E-06
2.11E-04,1.08E-06
2.13E-04,-6.90E-08
2.15E-04,-8.61E-07
2.16E-04,-1.03E-06
2.18E-04,-7.66E-07
2.19E-04,-2.31E-07
2.21E-04,3.97E-07
2.23E-04,6.07E-07
2.24E-04,5.63E-07
2.25E-04,3.12E-07
2.27E-04,-5.68E-08
2.29E-04,-3.44E-07
2.31E-04,-3.67E-07
2.32E-04,-2.52E-07
2.34E-04,-1.70E-08
2.35E-04,1.73E-07
2.37E-04,2.26E-07
2.38E-04,1.91E-07
2.40E-04,8.45E-08
2.42E-04,-5.34E-08
2.44E-04,-1.37E-07
2.45E-04,-1.21E-07
2.47E-04,-5.07E-08
2.49E-04,4.54E-08
2.51E-04,8.38E-08
2.52E-04,7.22E-08
2.53E-04,3.39E-08
2.55E-04,-1.73E-08
2.57E-04,-5.05E-08
2.59E-04,-4.66E-08
2.61E-04,-1.97E-08
2.62E-04,1.45E-08
2.64E-04,3.12E-08
2.66E-04,2.74E-08
2.67E-04,1.26E-08
2.69E-04,-6.51E-09
2.71E-04,-1.88E-08
2.73E-04,-1.73E-08
2.74E-04,-7.30E-09
2.76E-04,5.70E-09
