  Time                 , -I(R1)               
  0.000000000000e+000  ,6.149046879271e-004  
  1.090000000000e-010  ,6.149046879271e-004  
  2.180000000000e-010  ,6.149046879271e-004  
  4.359993316531e-010  ,6.149046879271e-004  
  8.719979949594e-010  ,6.149046879271e-004  
  1.743995321572e-009  ,6.149046879271e-004  
  3.487989974797e-009  ,6.149046879272e-004  
  6.975979281247e-009  ,6.149046879293e-004  
  1.090001000000e-008  ,6.149046879462e-004  
  1.123677624298e-008  ,6.149046893521e-004  
  1.191030872894e-008  ,6.149047131915e-004  
  1.307651085688e-008  ,6.149056192510e-004  
  1.419186277224e-008  ,6.149090509800e-004  
  1.642256660295e-008  ,6.149538998757e-004  
  1.919343752695e-008  ,6.152377150552e-004  
  2.247914357019e-008  ,6.168912316211e-004  
  2.669170183969e-008  ,6.253481712243e-004  
  3.099441213442e-008  ,6.698233631950e-004  
  3.155627904368e-008  ,6.805599773937e-004  
  3.268001286222e-008  ,7.094459287088e-004  
  3.449422923757e-008  ,7.885654015132e-004  
  3.474750241173e-008  ,8.029347615677e-004  
  3.525404876007e-008  ,8.348515482469e-004  
  3.626714145673e-008  ,9.116545688742e-004  
  3.775166964067e-008  ,1.056308563020e-003  
  4.072072600854e-008  ,1.465683098548e-003  
  4.665883874429e-008  ,2.787895466422e-003  
  5.434336757196e-008  ,5.511770793699e-003  
  6.377431249155e-008  ,1.042420462540e-002  
  7.906290387643e-008  ,2.200845178457e-002  
  8.590001000000e-008  ,2.862947139825e-002  
  8.837099505497e-008  ,3.123780056252e-002  
  9.331296516491e-008  ,3.679551986118e-002  
  1.031969053848e-007  ,4.926135512677e-002  
  1.152966482742e-007  ,6.693641151470e-002  
  1.272622807129e-007  ,8.699939169586e-002  
  1.366947157486e-007  ,1.045848984060e-001  
  1.457441909416e-007  ,1.229005106024e-001  
  1.549158556564e-007  ,1.428880801855e-001  
  1.699302656753e-007  ,1.786051636381e-001  
  1.843560798271e-007  ,2.163303250962e-001  
  2.000000100000e-007  ,2.608562027813e-001  
  2.028851728304e-007  ,2.695351958046e-001  
  2.086556475027e-007  ,2.873583884045e-001  
  2.201965968473e-007  ,3.238533067478e-001  
  2.432784955366e-007  ,3.995816202806e-001  
  2.550355117185e-007  ,4.381213362238e-001  
  2.659386913641e-007  ,4.734260485702e-001  
  2.724348525865e-007  ,4.940476526141e-001  
  2.829118590219e-007  ,5.266411767131e-001  
  3.038658718927e-007  ,5.893557962392e-001  
  3.457738976343e-007  ,7.051651245764e-001  
  3.988160710199e-007  ,8.344658960314e-001  
  5.045666317804e-007  ,1.042031074822e+000  
  7.160677533014e-007  ,1.300730967970e+000  
  1.139069996343e-006  ,1.443926232613e+000  
  1.536084614263e-006  ,1.362508587274e+000  
  2.007485828863e-006  ,1.238642351753e+000  
  2.501870594488e-006  ,1.171913693094e+000  
  3.051187000738e-006  ,1.172216868188e+000  
  3.438521824346e-006  ,1.196668212025e+000  
  3.906346760259e-006  ,1.224624402967e+000  
  4.338647327886e-006  ,1.211075762493e+000  
  4.857636890875e-006  ,1.130157202564e+000  
  5.414773426519e-006  ,9.574401066708e-001  
  6.059838734136e-006  ,6.688538931686e-001  
  6.839372120367e-006  ,2.902310045865e-001  
  7.586575947271e-006  ,-4.115282333187e-002  
  8.291245899664e-006  ,-2.385632500471e-001  
  8.958436451422e-006  ,-3.099495752277e-001  
  9.587289295660e-006  ,-2.795204230447e-001  
  1.018428941773e-005  ,-1.816846266262e-001  
  1.094417711304e-005  ,-2.136335547460e-002  
  1.183681627320e-005  ,1.370156793710e-001  
  1.276903291749e-005  ,2.036027398174e-001  
  1.358308931397e-005  ,1.757159100440e-001  
  1.441640993165e-005  ,8.654420296249e-002  
  1.534395357178e-005  ,-2.588336792336e-002  
  1.608266969727e-005  ,-8.630045596831e-002  
  1.681051393555e-005  ,-1.111458160441e-001  
  1.747617860840e-005  ,-1.002895810370e-001  
  1.826448579835e-005  ,-5.659724781384e-002  
  1.922884126710e-005  ,8.839904151347e-003  
  2.001342912720e-005  ,4.638995684788e-002  
  2.081003328370e-005  ,6.275610747886e-002  
  2.149658342408e-005  ,5.634471790890e-002  
  2.230825563477e-005  ,3.071104199073e-002  
  2.325735231446e-005  ,-5.558734035060e-003  
  2.401456972169e-005  ,-2.595579271552e-002  
  2.480745454835e-005  ,-3.520609701940e-002  
  2.549219270753e-005  ,-3.171321284344e-002  
  2.630653520630e-005  ,-1.733939161223e-002  
  2.725820680665e-005  ,3.081258012756e-003  
  2.801838060425e-005  ,1.458266783145e-002  
  2.881193300294e-005  ,1.978025461023e-002  
  2.949695726441e-005  ,1.781244026744e-002  
  3.031129976319e-005  ,9.733867358332e-003  
  3.126258989380e-005  ,-1.733427705821e-003  
  3.202228685425e-005  ,-8.190670300028e-003  
  3.281583925294e-005  ,-1.111095111359e-002  
  3.350086351441e-005  ,-1.000596606133e-002  
  3.431520601319e-005  ,-5.468224549983e-003  
  3.526659151124e-005  ,9.738967808854e-004  
  3.602638383912e-005  ,4.601388786206e-003  
  3.681984087037e-005  ,6.241461480047e-003  
  3.750486513184e-005  ,5.620738179322e-003  
  3.831920763062e-005  ,3.071706952049e-003  
  3.927059312867e-005  ,-5.470779579263e-004  
  4.003038545655e-005  ,-2.584774501905e-003  
  4.082384248780e-005  ,-3.506060516030e-003  
  4.150886674927e-005  ,-3.157373821584e-003  
  4.232320924805e-005  ,-1.725485413684e-003  
  4.328146120118e-005  ,3.196575176742e-004  
  4.403896471070e-005  ,1.456689581961e-003  
  4.483060976075e-005  ,1.969761967559e-003  
  4.551515718506e-005  ,1.772429363410e-003  
  4.632740160035e-005  ,9.694157934849e-004  
  4.722786088990e-005  ,-4.640573431610e-005  
  4.811716218995e-005  ,-8.639382791454e-004  
  4.904384752320e-005  ,-1.122802127021e-003  
  4.996729036378e-005  ,-8.262015533448e-004  
  5.072517534302e-005  ,-3.630703140821e-004  
  5.141277452515e-005  ,1.134269954784e-004  
  5.207147737549e-005  ,4.452381053043e-004  
  5.281334062623e-005  ,6.226105304719e-004  
  5.348396440552e-005  ,5.855851265223e-004  
  5.436325212525e-005  ,3.257091695926e-004  
  5.527029176758e-005  ,1.632794761257e-006  
  5.615768571900e-005  ,-2.661018536090e-004  
  5.705537935303e-005  ,-3.578424702490e-004  
  5.796213289307e-005  ,-2.903698674668e-004  
  5.878839632081e-005  ,-1.269159414547e-004  
  5.974016328858e-005  ,7.174516854139e-005  
  6.051416536378e-005  ,1.705029555929e-004  
  6.122484346436e-005  ,1.984942039969e-004  
  6.189146181153e-005  ,1.685555709828e-004  
  6.256456514405e-005  ,9.723736700988e-005  
  6.343259950684e-005  ,-3.214936804480e-006  
  6.430349489258e-005  ,-8.489110973038e-005  
  6.522579332398e-005  ,-1.128433487001e-004  
  6.614370485352e-005  ,-8.499987928457e-005  
  6.688318391846e-005  ,-4.009406077549e-005  
  6.757230897950e-005  ,8.249894324341e-006  
  6.823053499268e-005  ,4.261978611222e-005  
  6.901321550416e-005  ,6.246272439529e-005  
  6.970691820191e-005  ,5.873456197868e-005  
  7.059345384644e-005  ,3.224207084908e-005  
