  Time                 , -I(R1)               
  0.000000000000e+000  ,6.149046725507e-004  
  1.090000000000e-010  ,6.149046725507e-004  
  2.180000000000e-010  ,6.149046725507e-004  
  4.359993316531e-010  ,6.149046725507e-004  
  8.719979949594e-010  ,6.149046725508e-004  
  1.743995321572e-009  ,6.149046725514e-004  
  3.487989974797e-009  ,6.149046725560e-004  
  6.975979281247e-009  ,6.149046725937e-004  
  1.090001000000e-008  ,6.149046727153e-004  
  1.122750958336e-008  ,6.149094724457e-004  
  1.188250875009e-008  ,6.149478830498e-004  
  1.300456618799e-008  ,6.151059266100e-004  
  1.407614594234e-008  ,6.153776291376e-004  
  1.621930545105e-008  ,6.163919425978e-004  
  1.858411973251e-008  ,6.187305222221e-004  
  2.252473181022e-008  ,6.302707517407e-004  
  2.653314417137e-008  ,6.807049066708e-004  
  3.133727854026e-008  ,1.070676631863e-003  
  3.585754578842e-008  ,3.404159692992e-003  
  4.080100601448e-008  ,6.795504384460e-003  
  4.512457793487e-008  ,5.955449339032e-003  
  4.572295268906e-008  ,6.270925043752e-003  
  4.691970219744e-008  ,6.965497478253e-003  
  4.931320121420e-008  ,8.522286305579e-003  
  5.410019924773e-008  ,1.231145266083e-002  
  6.367419531477e-008  ,2.218154176199e-002  
  8.282218744887e-008  ,4.818442016040e-002  
  8.590001000000e-008  ,5.305223157837e-002  
  8.819739652706e-008  ,5.678904058711e-002  
  9.279216958118e-008  ,6.452738952736e-002  
  1.019817156894e-007  ,8.098492986942e-002  
  1.153301758869e-007  ,1.069597189602e-001  
  1.281481547458e-007  ,1.339522761133e-001  
  1.385834379299e-007  ,1.571484503974e-001  
  1.450736386879e-007  ,1.720544581672e-001  
  1.549605591400e-007  ,1.953667764554e-001  
  1.747344000442e-007  ,2.435805536506e-001  
  1.974676115615e-007  ,3.009878862341e-001  
  2.000000100000e-007  ,3.074703431621e-001  
  2.045466523035e-007  ,3.191529563208e-001  
  2.136393408640e-007  ,3.425599268426e-001  
  2.318247179849e-007  ,3.894858559410e-001  
  2.681954722269e-007  ,4.825439038380e-001  
  3.303154330118e-007  ,6.337410508117e-001  
  3.904684405191e-007  ,7.677217034823e-001  
  4.796250681741e-007  ,9.363814764332e-001  
  5.786045412881e-007  ,1.081648659944e+000  
  7.195576052530e-007  ,1.221140277894e+000  
  8.755548815591e-007  ,1.296785852762e+000  
  1.148448787199e-006  ,1.309876690957e+000  
  1.433168254362e-006  ,1.214135789118e+000  
  1.827083430753e-006  ,1.037948332937e+000  
  2.198348842130e-006  ,8.715895477128e-001  
  2.542816005216e-006  ,7.412549645574e-001  
  2.889047465788e-006  ,6.421370499367e-001  
  3.182159266935e-006  ,5.868782538623e-001  
  3.536496959196e-006  ,5.505832608149e-001  
