  Time                 , -I(R1)               
  0.000000000000e+000  ,6.998911471807e-003  
  1.090000000000e-010  ,6.998911471807e-003  
  2.180000000000e-010  ,6.998911471807e-003  
  4.359993316531e-010  ,6.998911471808e-003  
  8.719979949594e-010  ,6.998911471808e-003  
  1.743995321572e-009  ,6.998911471810e-003  
  3.487989974797e-009  ,6.998911471817e-003  
  6.975979281247e-009  ,6.998911471854e-003  
  1.090001000000e-008  ,6.998911471958e-003  
  1.125135144127e-008  ,6.998936046784e-003  
  1.195403432382e-008  ,6.999095134860e-003  
  1.313606893552e-008  ,6.999377586693e-003  
  1.426222419275e-008  ,6.999706368423e-003  
  1.651453470720e-008  ,7.000702189291e-003  
  1.892889534963e-008  ,7.003114149761e-003  
  2.286950742734e-008  ,7.015770676992e-003  
  2.679298316968e-008  ,7.075677664869e-003  
  3.152261173261e-008  ,7.519181241659e-003  
  3.208084648384e-008  ,7.791203118199e-003  
  3.319731598629e-008  ,8.249683591319e-003  
  3.347643336190e-008  ,8.442412605296e-003  
  3.354621270580e-008  ,8.489619611242e-003  
  3.368577139361e-008  ,8.585359286386e-003  
  3.396488876922e-008  ,8.787648478924e-003  
  3.452312352044e-008  ,9.256070869918e-003  
  3.563959302289e-008  ,1.050052810662e-002  
  3.706693800075e-008  ,1.305036824547e-002  
  3.960162551982e-008  ,2.094149787465e-002  
  4.313543589694e-008  ,2.345208923834e-002  
  4.661373944862e-008  ,1.197521551973e-002  
  5.064748378379e-008  ,7.817274232221e-003  
  5.653120728118e-008  ,8.578098464459e-003  
  6.250508280380e-008  ,9.752725902605e-003  
  7.445283384902e-008  ,1.102254754777e-002  
  8.590001000000e-008  ,1.198182277626e-002  
  8.724875135256e-008  ,1.216323635569e-002  
  8.994623405767e-008  ,1.243898564203e-002  
  9.534119946791e-008  ,1.296633244190e-002  
  1.061311302884e-007  ,1.404716295396e-002  
  1.151180206044e-007  ,1.487301679214e-002  
  1.233643232091e-007  ,1.553223238781e-002  
  1.276223300202e-007  ,1.593722960784e-002  
  1.304650990470e-007  ,1.621832654602e-002  
  1.327136842711e-007  ,1.643377978403e-002  
  1.348013369544e-007  ,1.662943729545e-002  
  1.364080546601e-007  ,1.678042216757e-002  
  1.378894163473e-007  ,1.691979134833e-002  
  1.393478674991e-007  ,1.705683575907e-002  
  1.422647698028e-007  ,1.733088263173e-002  
  1.465093655689e-007  ,1.772964721058e-002  
  1.549985571010e-007  ,1.852694564286e-002  
  1.719769401653e-007  ,2.012057583517e-002  
  2.000000100000e-007  ,2.274804861021e-002  
  2.033956866129e-007  ,2.306616339963e-002  
  2.101868908270e-007  ,2.370228009856e-002  
  2.237692992551e-007  ,2.497388978114e-002  
  2.509341161115e-007  ,2.751464564538e-002  
  3.052637498243e-007  ,3.258636281778e-002  
  4.139230172498e-007  ,4.269108315624e-002  
  6.312415521009e-007  ,6.274905494562e-002  
  1.065878621803e-006  ,1.022743042708e-001  
  1.755957357155e-006  ,1.634353565348e-001  
  2.424196950660e-006  ,2.208570233653e-001  
  3.109984151588e-006  ,2.780342606590e-001  
  3.856234304176e-006  ,3.379186848065e-001  
  4.717211477028e-006  ,4.027284888943e-001  
  5.403189412819e-006  ,4.505032234252e-001  
  5.895762197243e-006  ,4.825458255017e-001  
  6.444411031471e-006  ,5.159141770363e-001  
  7.271818868385e-006  ,5.613459193630e-001  
  8.085779897438e-006  ,6.003314222879e-001  
  9.029059163795e-006  ,6.386572686761e-001  
  1.005597566770e-005  ,6.719941550636e-001  
  1.075225328611e-005  ,6.893250975720e-001  
  1.143565630125e-005  ,7.019318469891e-001  
  1.231847261594e-005  ,7.111261164853e-001  
  1.310077165769e-005  ,7.125814657415e-001  
  1.389775728391e-005  ,7.077602622731e-001  
  1.457477068113e-005  ,6.990486326564e-001  
  1.531367754148e-005  ,6.849445561336e-001  
  1.611743425535e-005  ,6.644608892512e-001  
  1.694436525510e-005  ,6.377601639895e-001  
  1.792054628538e-005  ,5.988288752370e-001  
  1.897817110227e-005  ,5.478753852521e-001  
  1.960244630979e-005  ,5.139632561989e-001  
  2.013469194578e-005  ,4.830733856101e-001  
  2.078423952268e-005  ,4.432019116300e-001  
  2.167678331541e-005  ,3.852578663743e-001  
  2.255826448606e-005  ,3.249495752221e-001  
  2.366033052610e-005  ,2.457970255696e-001  
  2.474351381467e-005  ,1.655996562160e-001  
  2.596250032590e-005  ,7.395607556936e-002  
  2.680345033811e-005  ,1.122055363501e-002  
  2.765880083250e-005  ,-5.172984989104e-002  
  2.858024095701e-005  ,-1.178970031992e-001  
  2.965579485105e-005  ,-1.925691297751e-001  
  3.084865068601e-005  ,-2.713857270201e-001  
  3.162560915159e-005  ,-3.196516745477e-001  
  3.244929765867e-005  ,-3.675155417129e-001  
  3.334689592527e-005  ,-4.152806741665e-001  
  3.430114244627e-005  ,-4.602832835473e-001  
  3.551764940427e-005  ,-5.088111992624e-001  
  3.672957872556e-005  ,-5.469456713767e-001  
  3.751168703245e-005  ,-5.658115220590e-001  
  3.822122072385e-005  ,-5.787982953342e-001  
  3.890119051145e-005  ,-5.874282617392e-001  
  3.980050539182e-005  ,-5.929074658987e-001  
  4.062743639158e-005  ,-5.920610008703e-001  
  4.129014467405e-005  ,-5.874970748618e-001  
  4.201264833616e-005  ,-5.787064838205e-001  
  4.293122743772e-005  ,-5.620354666415e-001  
  4.385858034299e-005  ,-5.390145588746e-001  
  4.502130006956e-005  ,-5.016504426547e-001  
  4.627805208372e-005  ,-4.512060410592e-001  
  4.706626390623e-005  ,-4.149457556677e-001  
  4.812484239744e-005  ,-3.613513117137e-001  
  4.974303697752e-005  ,-2.709681705202e-001  
  5.114284013914e-005  ,-1.865892784887e-001  
  5.269656633543e-005  ,-8.806157444070e-002  
  5.402598833250e-005  ,-2.878499229075e-003  
  5.561442827390e-005  ,9.753383040540e-002  
  5.694919084714e-005  ,1.777622764407e-001  
  5.899043535398e-005  ,2.892498115305e-001  
  6.112704729246e-005  ,3.874687509625e-001  
  6.265941118406e-005  ,4.422194084055e-001  
  6.452479814695e-005  ,4.893685869096e-001  
  6.539912676023e-005  ,5.034233230487e-001  
  6.676192735838e-005  ,5.149038138823e-001  
  6.802745317625e-005  ,5.141423009305e-001  
  6.919875597166e-005  ,5.036743558955e-001  
  7.117972826170e-005  ,4.655215795432e-001  
  7.319083666013e-005  ,4.035547174340e-001  
  7.529960130857e-005  ,3.165022096597e-001  
  7.843032335447e-005  ,1.616706479118e-001  
  8.184829210447e-005  ,-2.616380589234e-002  
  8.695846056150e-005  ,-2.766548566146e-001  
  9.233413194822e-005  ,-4.315838661060e-001  
  9.773879503416e-005  ,-4.315049805195e-001  
  1.028779551904e-004  ,-2.957757617443e-001  
  1.100648448388e-004  ,-4.984295431518e-003  
  1.176545665185e-004  ,2.958510306826e-001  
  1.261704966943e-004  ,3.856513041044e-001  
  1.343171641748e-004  ,1.877115684614e-001  
  1.419091746728e-004  ,-1.118554731010e-001  
  1.496087596338e-004  ,-3.231654310677e-001  
  1.559014842431e-004  ,-3.320936723639e-001  
  1.618615672510e-004  ,-2.095370285600e-001  
  1.686944529931e-004  ,4.476040105033e-003  
