Time,Ch2
2.43E-08,-0.1094044
2.44E-08,-0.1099234
2.45E-08,-0.1104334
2.46E-08,-0.1109343
2.47E-08,-0.111426
2.48E-08,-0.1119086
2.49E-08,-0.1123819
0.000000025,-0.112846
2.51E-08,-0.1133008
2.52E-08,-0.1137463
2.53E-08,-0.1141825
2.54E-08,-0.1146093
2.55E-08,-0.1150267
2.56E-08,-0.1154347
2.57E-08,-0.1158333
2.58E-08,-0.1162224
2.59E-08,-0.1166021
0.000000026,-0.1169723
2.61E-08,-0.117333
2.62E-08,-0.1176843
2.63E-08,-0.118026
2.64E-08,-0.1183583
2.65E-08,-0.1186811
2.66E-08,-0.1189944
2.67E-08,-0.1192982
2.68E-08,-0.1195925
2.69E-08,-0.1198774
0.000000027,-0.1201528
2.71E-08,-0.1204188
2.72E-08,-0.1206753
2.73E-08,-0.1209225
2.74E-08,-0.1211602
2.75E-08,-0.1213886
2.76E-08,-0.1216076
2.77E-08,-0.1218174
2.78E-08,-0.1220178
2.79E-08,-0.122209
0.000000028,-0.122391
2.81E-08,-0.1225637
2.82E-08,-0.1227274
2.83E-08,-0.1228819
2.84E-08,-0.1230274
2.85E-08,-0.1231639
2.86E-08,-0.1232914
2.87E-08,-0.12341
2.88E-08,-0.1235197
2.89E-08,-0.1236206
0.000000029,-0.1237128
2.91E-08,-0.1237963
2.92E-08,-0.1238711
2.93E-08,-0.1239374
2.94E-08,-0.1239952
2.95E-08,-0.1240445
2.96E-08,-0.1240855
2.97E-08,-0.1241182
2.98E-08,-0.1241427
2.99E-08,-0.1241591
0.00000003,-0.1241674
3.01E-08,-0.1241677
3.02E-08,-0.1241601
3.03E-08,-0.1241447
3.04E-08,-0.1241216
3.05E-08,-0.1240909
3.06E-08,-0.1240526
3.07E-08,-0.1240069
3.08E-08,-0.1239539
3.09E-08,-0.1238936
0.000000031,-0.1238262
3.11E-08,-0.1237518
3.12E-08,-0.1236704
3.13E-08,-0.1235822
3.14E-08,-0.1234873
3.15E-08,-0.1233859
3.16E-08,-0.1232779
3.17E-08,-0.1231636
3.18E-08,-0.1230431
3.19E-08,-0.1229165
0.000000032,-0.1227839
3.21E-08,-0.1226454
3.22E-08,-0.1225012
3.23E-08,-0.1223514
3.24E-08,-0.1221962
3.25E-08,-0.1220356
3.26E-08,-0.1218698
3.27E-08,-0.121699
3.28E-08,-0.1215233
3.29E-08,-0.1213427
0.000000033,-0.1211575
3.31E-08,-0.1209679
3.32E-08,-0.1207738
3.33E-08,-0.1205756
3.34E-08,-0.1203732
3.35E-08,-0.120167
3.36E-08,-0.119957
3.37E-08,-0.1197433
3.38E-08,-0.1195261
3.39E-08,-0.1193056
0.000000034,-0.1190819
3.41E-08,-0.1188552
3.42E-08,-0.1186255
3.43E-08,-0.1183931
3.44E-08,-0.1181581
3.45E-08,-0.1179207
3.46E-08,-0.1176809
3.47E-08,-0.117439
3.48E-08,-0.117195
3.49E-08,-0.1169492
0.000000035,-0.1167016
3.51E-08,-0.1164525
