  Time                 , -I(R1)               
  0.000000000000e+000  ,6.249028099828e-002  
  1.090000000000e-010  ,6.249028099828e-002  
  2.180000000000e-010  ,6.249028099828e-002  
  4.359993316531e-010  ,6.249028099828e-002  
  8.719979949594e-010  ,6.249028099829e-002  
  1.743995321572e-009  ,6.249028099830e-002  
  3.487989974797e-009  ,6.249028099836e-002  
  6.975979281247e-009  ,6.249028099864e-002  
  1.090001000000e-008  ,6.249028099948e-002  
  1.125135144127e-008  ,6.249047795637e-002  
  1.195403432382e-008  ,6.249173092364e-002  
  1.313606893552e-008  ,6.249384260340e-002  
  1.426222419275e-008  ,6.249631413404e-002  
  1.651453470720e-008  ,6.250401368466e-002  
  1.892889534963e-008  ,6.252304612658e-002  
  2.286950742734e-008  ,6.262483594417e-002  
  2.679298316968e-008  ,6.310217511106e-002  
  2.738251035942e-008  ,6.336289386549e-002  
  2.856156473888e-008  ,6.381450175686e-002  
  2.951691543592e-008  ,6.437614991656e-002  
  3.080027794374e-008  ,6.556672342171e-002  
  3.336700295938e-008  ,7.117352076663e-002  
  3.602574264539e-008  ,8.772877537316e-002  
  3.854217624200e-008  ,1.434804866334e-001  
  4.110443090929e-008  ,1.982381166397e-001  
  4.311310743822e-008  ,1.803699864315e-001  
  4.561128711236e-008  ,8.330356266152e-002  
  4.719043766988e-008  ,7.225444506289e-002  
  4.859766608013e-008  ,6.867347066247e-002  
  5.018016939891e-008  ,6.575931400482e-002  
  5.334517603649e-008  ,6.500102507192e-002  
  5.799135809673e-008  ,6.395268594951e-002  
  6.302944069637e-008  ,6.485503350107e-002  
  7.310560589565e-008  ,6.606573859064e-002  
  8.426657562984e-008  ,6.731554183953e-002  
  8.590001000000e-008  ,6.750205538452e-002  
  8.715736998154e-008  ,6.765586569082e-002  
  8.967194093300e-008  ,6.796953497911e-002  
  9.470108283592e-008  ,6.864860339426e-002  
  1.047593666418e-007  ,7.018740410103e-002  
  1.127404285772e-007  ,7.103814201490e-002  
  1.214352561338e-007  ,7.105342707341e-002  
  1.256850673063e-007  ,7.143634543338e-002  
  1.289830668075e-007  ,7.187530458730e-002  
  1.308047337635e-007  ,7.209883693666e-002  
  1.326180188162e-007  ,7.229413521853e-002  
  1.332978842957e-007  ,7.236401559376e-002  
  1.346576152547e-007  ,7.250507429574e-002  
  1.373770771725e-007  ,7.279012559181e-002  
  1.428160010083e-007  ,7.335867893748e-002  
  1.508387861950e-007  ,7.419725180327e-002  
  1.668843565686e-007  ,7.587271814134e-002  
  1.900049982770e-007  ,7.828234759584e-002  
  2.000000100000e-007  ,7.932238419010e-002  
  2.046241383417e-007  ,7.980310154181e-002  
  2.138717989786e-007  ,8.076405501032e-002  
  2.323671202524e-007  ,8.268344423008e-002  
  2.693577628000e-007  ,8.651236604789e-002  
  3.433390478952e-007  ,9.413232974711e-002  
  4.913016180856e-007  ,1.092293668252e-001  
  7.872267584665e-007  ,1.389168339965e-001  
  1.379077039228e-006  ,1.965878762277e-001  
  1.959292493330e-006  ,2.511317234937e-001  
  2.540747724043e-006  ,3.040826376637e-001  
  2.931754193769e-006  ,3.388676945289e-001  
  3.398339353071e-006  ,3.794829614501e-001  
  4.022042356001e-006  ,4.320284172966e-001  
  4.722802243696e-006  ,4.888449372292e-001  
  5.077950559126e-006  ,5.166490247495e-001  
  5.521456799970e-006  ,5.502146298350e-001  
  6.279055676924e-006  ,6.033864642718e-001  
  6.964079938398e-006  ,6.468499303506e-001  
  7.696501813398e-006  ,6.885203248254e-001  
  8.581606946455e-006  ,7.323363946821e-001  
  9.225146375166e-006  ,7.595183358510e-001  
  9.822623334394e-006  ,7.809326223657e-001  
  1.040369709538e-005  ,7.980086818850e-001  
