  Time                 , -I(R1)               
  0.000000000000e+000  ,6.149046725507e-004  
  1.090000000000e-010  ,6.149046725507e-004  
  2.180000000000e-010  ,6.149046725507e-004  
  4.359993316531e-010  ,6.149046725507e-004  
  8.719979949594e-010  ,6.149046725508e-004  
  1.743995321572e-009  ,6.149046725514e-004  
  3.487989974797e-009  ,6.149046725560e-004  
  6.975979281247e-009  ,6.149046725937e-004  
  1.090001000000e-008  ,6.149046727159e-004  
  1.122750958336e-008  ,6.149094725047e-004  
  1.188250875009e-008  ,6.149478839058e-004  
  1.300456618799e-008  ,6.151059482296e-004  
  1.407614594234e-008  ,6.153777253409e-004  
  1.621930545105e-008  ,6.163930117616e-004  
  1.858411973251e-008  ,6.187366429688e-004  
  2.252473181022e-008  ,6.303302306857e-004  
  2.653314417137e-008  ,6.810399463354e-004  
  3.133727854026e-008  ,1.073214722389e-003  
  3.585754578842e-008  ,3.649982460411e-003  
  3.655063604845e-008  ,4.703833773791e-003  
  3.793681656850e-008  ,8.029667017256e-003  
  4.032286500467e-008  ,1.812138451359e-002  
  4.279385005964e-008  ,3.052074051999e-002  
  4.773582016958e-008  ,4.022289006346e-002  
  5.376110469831e-008  ,4.151725701419e-002  
  6.383279954923e-008  ,4.290346703074e-002  
  7.591466104520e-008  ,4.565624766575e-002  
  8.590001000000e-008  ,4.888910440325e-002  
  8.831638229919e-008  ,4.983140975319e-002  
  9.314882887436e-008  ,5.185077568082e-002  
  1.028137220247e-007  ,5.658697277349e-002  
  1.163514269693e-007  ,6.456382220715e-002  
  1.287566436632e-007  ,7.285002040608e-002  
  1.388477100237e-007  ,8.041147681518e-002  
  1.449646366937e-007  ,8.539109982180e-002  
  1.542674316270e-007  ,9.352626745815e-002  
  1.728730214937e-007  ,1.117881908418e-001  
  1.945244087083e-007  ,1.363328050765e-001  
  2.000000100000e-007  ,1.430920686987e-001  
  2.043302874429e-007  ,1.486601889159e-001  
  2.129908423288e-007  ,1.600678202267e-001  
  2.303119521005e-007  ,1.844881407671e-001  
  2.649541716440e-007  ,2.395491767069e-001  
  3.342386107309e-007  ,3.725454906483e-001  
  4.492040495737e-007  ,6.206214418428e-001  
  4.629205684526e-007  ,6.512371452771e-001  
  4.903536062105e-007  ,7.106146078482e-001  
  5.362193803651e-007  ,8.041113855049e-001  
  5.825560312135e-007  ,8.904154173535e-001  
  6.752293329103e-007  ,1.036331321630e+000  
  7.898490648134e-007  ,1.169581272980e+000  
  9.643476228578e-007  ,1.288819549227e+000  
  1.156536839472e-006  ,1.334128212203e+000  
  1.457754872309e-006  ,1.305502243186e+000  
  1.938025258051e-006  ,1.179381912372e+000  
  2.430788777338e-006  ,1.074464304325e+000  
  2.735678456293e-006  ,1.045757901707e+000  
